Sample ID,Labelled substrate,Label pattern,abundance,Injection,Replicate,Conditions,Incubation time [value],Incubation time [units],data file ID,Retention time [value],Retention time [units],Metabolite name,CHEBI ID,atomic positions to the parent molecule,Empirical formula derivatized molecule/fragment,m/z monitored,signal intensity,isotopologue,Isotopologue [value],Isotopologue [units]
coldcom_glc_i1,,,,1,1,cold_commercial,,hour,04B_Coldcom_G.CDF      ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,334,36,m6,0.01,%
coldcom_glc_i1,,,,1,1,cold_commercial,,hour,04B_Coldcom_G.CDF      ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,335,0,,,
coldcom_glc_i1,,,,1,1,cold_commercial,,hour,04B_Coldcom_G.CDF      ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,336,52,,,
coldcom_glc_i2,,,,2,1,cold_commercial,,hour,21_Coldcom_G.CDF       ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,327,442,,,
coldcom_glc_i2,,,,2,1,cold_commercial,,hour,21_Coldcom_G.CDF       ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,328,108487,m0,99.99,%
coldcom_glc_i2,,,,2,1,cold_commercial,,hour,21_Coldcom_G.CDF       ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,329,17031,m1,-0.02,%
coldcom_glc_i2,,,,2,1,cold_commercial,,hour,21_Coldcom_G.CDF       ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,330,3324,m2,0,%
coldcom_glc_i2,,,,2,1,cold_commercial,,hour,21_Coldcom_G.CDF       ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,331,430,m3,-0.01,%
coldcom_glc_i2,,,,2,1,cold_commercial,,hour,21_Coldcom_G.CDF       ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,332,123,m4,0,%
coldcom_glc_i2,,,,2,1,cold_commercial,,hour,21_Coldcom_G.CDF       ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,333,96,m5,0.01,%
coldcom_glc_i2,,,,2,1,cold_commercial,,hour,21_Coldcom_G.CDF       ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,334,70,m6,0.03,%
coldcom_glc_i2,,,,2,1,cold_commercial,,hour,21_Coldcom_G.CDF       ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,335,107,,,
coldcom_glc_i2,,,,2,1,cold_commercial,,hour,21_Coldcom_G.CDF       ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,336,10,,,
coldcom_glc_i3,,,,3,1,cold_commercial,,hour,32_Coldcom_G.CDF       ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,327,679,,,
coldcom_glc_i3,,,,3,1,cold_commercial,,hour,32_Coldcom_G.CDF       ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,328,176546,m0,100.04,%
coldcom_glc_i3,,,,3,1,cold_commercial,,hour,32_Coldcom_G.CDF       ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,329,27800,m1,0.02,%
coldcom_glc_i3,,,,3,1,cold_commercial,,hour,32_Coldcom_G.CDF       ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,330,5338,m2,-0.04,%
