Raw Data File,tracer molecule,labelled positions,abundance,Parameter Value[injection],Parameter Value[Replicate],Factor Value[Incubation time],Metabolite name,CHEBI identifier,atomic positions to the parent molecule/metabolite name,Empirical formula derivatized molecule/fragment,m/z monitored,signal intensity,isotopologue,isotologue abundance relative concentration
RibHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,257,136381,Rib_13C1,
RibHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,258,91122,Rib_13C2,
RibHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,259,18142,Rib_13C3,
RibHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,260,16176,Rib_13C4,
RibHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,261,1733,Rib_13C5,
RibHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,262,537,,
RibNat1_01.CDF,,,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,255,3137,,
RibNat1_01.CDF,,,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,256,714380,Rib_13C0,
RibNat1_01.CDF,,,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,257,85346,Rib_13C1,
RibNat1_01.CDF,,,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,258,14865,Rib_13C2,
RibNat1_01.CDF,,,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,259,1523,Rib_13C3,
RibNat1_01.CDF,,,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,260,1267,Rib_13C4,
RibNat1_01.CDF,,,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,261,363,Rib_13C5,
RibNat1_01.CDF,,,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,262,395,,
RibNat1_02.CDF,,,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,255,3031,,
RibNat1_02.CDF,,,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,256,669201,Rib_13C0,
RibNat1_02.CDF,,,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,257,81441,Rib_13C1,
RibNat1_02.CDF,,,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,258,14566,Rib_13C2,
RibNat1_02.CDF,,,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,259,1093,Rib_13C3,
RibNat1_02.CDF,,,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,260,1349,Rib_13C4,
RibNat1_02.CDF,,,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,261,325,Rib_13C5,
RibNat1_02.CDF,,,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,262,198,,
RibNat1_03.CDF,,,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,255,3176,,
