"Raw Data File","cells","tracer molecule","labelled positions","abundance","Parameter Value[injection]","Parameter Value[Replicate]","Factor Value[Incubation time]","Metabolite name","CHEBI identifier","atomic positions to the parent molecule/metabolite name","Empirical formula derivatized molecule/fragment","retention(min)","m/z monitored","signal intensity","isotopologue","isotologue abundance relative concentration"
"BEAS2B_GlutaminaC1_1_02.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","2","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","417",0,"13C-1",NA
"BEAS2B_GlutaminaC1_1_02.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","2","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","418",0.152521153840075,"13C0",26.918
"BEAS2B_GlutaminaC1_1_02.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","2","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","419",0.529996785973056,"13C1",72.813
"BEAS2B_GlutaminaC1_1_02.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","2","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","420",0.193305645499958,"13C2",0.297
"BEAS2B_GlutaminaC1_1_02.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","2","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","421",0.0856102905691805,"13C3",-1.228
"BEAS2B_GlutaminaC1_1_02.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","2","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","422",0.0310571527533848,"13C4",1.2
"BEAS2B_GlutaminaC1_1_02.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","2","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","423",0.00750897136434652,"13C5",NA
"BEAS2B_GlutaminaC1_2_01.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","1","2","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","417",0,"13C-1",NA
"BEAS2B_GlutaminaC1_2_01.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","1","2","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","418",0.143332281111452,"13C0",25.491
"BEAS2B_GlutaminaC1_2_01.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","1","2","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","419",0.536021052314544,"13C1",74.264
"BEAS2B_GlutaminaC1_2_01.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","1","2","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","420",0.194051918320625,"13C2",0.154
"BEAS2B_GlutaminaC1_2_01.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","1","2","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","421",0.0867519206023399,"13C3",-1.18
"BEAS2B_GlutaminaC1_2_01.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","1","2","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","422",0.0319795872578011,"13C4",1.272
"BEAS2B_GlutaminaC1_2_01.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","1","2","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","423",0.00786324039323857,"13C5",NA
"BEAS2B_GlutaminaC1_2_02.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","2","2","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","417",0,"13C-1",NA
"BEAS2B_GlutaminaC1_2_02.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","2","2","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","418",0.144587706045903,"13C0",25.681
"BEAS2B_GlutaminaC1_2_02.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","2","2","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","419",0.534904402815013,"13C1",74.005
"BEAS2B_GlutaminaC1_2_02.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","2","2","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","420",0.19459099159065,"13C2",0.284
"BEAS2B_GlutaminaC1_2_02.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","2","2","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","421",0.0868841855857302,"13C3",-1.175
"BEAS2B_GlutaminaC1_2_02.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","2","2","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","422",0.0314272209392278,"13C4",1.206
"BEAS2B_GlutaminaC1_2_02.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","2","2","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","423",0.007605493023477,"13C5",NA
"BEAS2B_GlutaminaC1_3_01.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","1","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","417",0,"13C-1",NA
"BEAS2B_GlutaminaC1_3_01.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","1","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","418",0.146599719058715,"13C0",26.006
"BEAS2B_GlutaminaC1_3_01.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","1","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","419",0.532821956094541,"13C1",73.606
"BEAS2B_GlutaminaC1_3_01.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","1","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","420",0.193496032878819,"13C2",0.215
"BEAS2B_GlutaminaC1_3_01.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","1","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","421",0.0863204111572422,"13C3",-1.183
"BEAS2B_GlutaminaC1_3_01.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","1","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","422",0.0327475380952138,"13C4",1.356
"BEAS2B_GlutaminaC1_3_01.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","1","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","423",0.00801434271546999,"13C5",NA
"BEAS2B_GlutaminaC1_3_02.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","2","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","417",0,"13C-1",NA
"BEAS2B_GlutaminaC1_3_02.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","2","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","418",0.147853566497465,"13C0",26.196
"BEAS2B_GlutaminaC1_3_02.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","2","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","419",0.532500266177786,"13C1",73.473
"BEAS2B_GlutaminaC1_3_02.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","2","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","420",0.193617093113869,"13C2",0.242
"BEAS2B_GlutaminaC1_3_02.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","2","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","421",0.0859931331820145,"13C3",-1.224
"BEAS2B_GlutaminaC1_3_02.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","2","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","422",0.032231656600879,"13C4",1.313
"BEAS2B_GlutaminaC1_3_02.CDF","BEAS2B","[3-C13]-Glutamine","0,0,1,0,0","100","2","3","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","423",0.00780428442798678,"13C5",NA
"NCIH460_GlutaminaC1_1_01.CDF","NCI","[3-C13]-Glutamine","0,0,1,0,0","100","1","1","24","Aspartate","CHEBI:29991","C1-C4","C18H40O4N1Si3","28.5","417",0,"13C-1",NA
