Raw_Data_File,cells,tracer_molecule,labelled_positions,abundance,injection,Replicate,Incubation_time,Metabolite_name,CHEBI,atomic_positions,Empirical_formula,retention(min),m/z_monitored,signal_intensity,isotopologue,isotologue_abundance
Lac_BEAS2B_24h_GlucosaC1C2_3_01,Lac,,,,GlucosaC1C2,01,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,327,571498,m-1,571498
Lac_BEAS2B_24h_GlucosaC1C2_3_01,Lac,,,,GlucosaC1C2,01,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,328,22221585,m0,22221585
Lac_BEAS2B_24h_GlucosaC1C2_3_01,Lac,,,,GlucosaC1C2,01,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,329,3387044,m1,3387044
Lac_BEAS2B_24h_GlucosaC1C2_3_01,Lac,,,,GlucosaC1C2,01,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,330,6743252,m2,6743252
Lac_BEAS2B_24h_GlucosaC1C2_3_01,Lac,,,,GlucosaC1C2,01,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,331,675094,m3,675094
Lac_BEAS2B_24h_GlucosaC1C2_3_01,Lac,,,,GlucosaC1C2,01,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,332,70091,m4,70091

Lac_BEAS2B_24h_GlucosaC1C2_3_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,327,630225,m-1,630225
Lac_BEAS2B_24h_GlucosaC1C2_3_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,328,24576478,m0,24576478
Lac_BEAS2B_24h_GlucosaC1C2_3_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,329,3743259,m1,3743259
Lac_BEAS2B_24h_GlucosaC1C2_3_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,330,7451120,m2,7451120
Lac_BEAS2B_24h_GlucosaC1C2_3_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,331,740649,m3,740649
Lac_BEAS2B_24h_GlucosaC1C2_3_02,Lac,,,,GlucosaC1C2,02,BEAS2B,Lactate,chebi,C1C3,C10H13O3N1F7,5.33,332,78003,m4,78003
