Raw_Data_File,cells,tracer_molecule,labelled_positions,abundance,injection,Replicate,Incubation_time,Metabolite_name,CHEBI,atomic_positions,Empirical_formula,retention(min),m/z_monitored,signal_intensity,isotopologue,isotologue_abundance
Glc_BEAS2B_24h_GlucosaC1C2_1_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,6548,m6,6548

Glc_BEAS2B_24h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,8116,m-1,8116
Glc_BEAS2B_24h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,8854341,m0,8854341
Glc_BEAS2B_24h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,1401653,m1,1401653
Glc_BEAS2B_24h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,9298829,m2,9298829
Glc_BEAS2B_24h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,331,1249335,m3,1249335
Glc_BEAS2B_24h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,235151,m4,235151
Glc_BEAS2B_24h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,25509,m5,25509
Glc_BEAS2B_24h_GlucosaC1C2_1_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,5108,m6,5108

Glc_BEAS2B_24h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,4583,m-1,4583
Glc_BEAS2B_24h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,4281797,m0,4281797
Glc_BEAS2B_24h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,690988,m1,690988
